,PDF,Palabra,Frecuencia
564,PSOE,vecindad,4
565,PSOE,sur,6
566,PSOE,gestionando,2
567,PSOE,compartido,4
568,PSOE,áfrica,10
569,PSOE,asia,4
570,PSOE,referente,18
571,PSOE,españoles,29
572,PSOE,españolas,37
573,PSOE,defensa,34
574,PSOE,socio,7
575,PSOE,fiable,4
576,PSOE,soldadosnuestro,1
577,PSOE,ejército,3
578,PSOE,columna,6
579,PSOE,vertebral,6
580,PSOE,fuerzas,21
581,PSOE,armadas,11
582,PSOE,próximo,2
583,PSOE,llamados,3
584,PSOE,urnas,2
585,PSOE,citas,2
586,PSOE,electorales,3
587,PSOE,importantes,19
588,PSOE,años,155
589,PSOE,decidimos,2
590,PSOE,tan,12
591,PSOE,solo,36
592,PSOE,quién,2
593,PSOE,gobierna,2
594,PSOE,sino,27
595,PSOE,queremos,30
596,PSOE,primera,41
597,PSOE,vez,49
598,PSOE,recuperación,56
599,PSOE,democráticas,3
600,PSOE,partido,73
601,PSOE,popular,22
602,PSOE,abierto,14
603,PSOE,puerta,3
604,PSOE,gobiernos,41
605,PSOE,ultraderecha,5
606,PSOE,l,69
607,PSOE,legado,2
608,PSOE,aplicada,5
609,PSOE,allá,10
610,PSOE,gobiernan,3
611,PSOE,pp,30
612,PSOE,vox,4
613,PSOE,retrocesos,2
614,PSOE,sindicales,6
615,PSOE,n,51
616,PSOE,menos,41
617,PSOE,clase,12
618,PSOE,ser,66
619,PSOE,socialistas,72
620,PSOE,claro,13
621,PSOE,ningún,14
622,PSOE,avance,19
623,PSOE,propuestas,14
624,PSOE,devuelven,1
625,PSOE,razón,4
626,PSOE,única,9
627,PSOE,único,10
628,PSOE,r,25
629,PSOE,epresenta,1
630,PSOE,socialista,75
631,PSOE,plasma,1
632,PSOE,conjunto,29
633,PSOE,normas,12
634,PSOE,encima,5
635,PSOE,valores,32
636,PSOE,libertad,25
637,PSOE,consagrados,3
638,PSOE,co,20
639,PSOE,nstitución,1
640,PSOE,forman,2
641,PSOE,corazón,2
642,PSOE,mismo,44
643,PSOE,fundación,2
644,PSOE,compartidos,3
645,PSOE,inmensa,2
646,PSOE,mayoría,19
647,PSOE,ciudadanos,12
648,PSOE,hecho,34
649,PSOE,actor,2
650,PSOE,fundamental,39
651,PSOE,gobernar,2
652,PSOE,modernizar,9
653,PSOE,hace,19
654,PSOE,cuatro,20
655,PSOE,ños,2
656,PSOE,recibimos,1
657,PSOE,mayoritaria,1
658,PSOE,expresó,2
659,PSOE,cinco,11
660,PSOE,ocasiones,2
661,PSOE,consecutivas,1
662,PSOE,poner,22
663,PSOE,marcha,100
664,PSOE,recuperase,1
665,PSOE,perdidos,2
666,PSOE,s,123
667,PSOE,etapa,13
668,PSOE,ecológica,23
669,PSOE,preservar,8
670,PSOE,generando,13
671,PSOE,ca,9
672,PSOE,lidad,3
673,PSOE,actividades,39
674,PSOE,innovadoras,12
675,PSOE,alto,19
676,PSOE,añadido,13
677,PSOE,seña,2
678,PSOE,identidad,15
679,PSOE,consideramos,6
680,PSOE,ético,4
681,PSOE,escala,4
682,PSOE,sostenibili,1
683,PSOE,dad,8
684,PSOE,ambiental,14
685,PSOE,imprescindible,24
686,PSOE,avanzar,46
687,PSOE,duradero,1
688,PSOE,acorde,6
689,PSOE,legislatura,68
690,PSOE,enfrentado,3
691,PSOE,conocido,3
692,PSOE,gob,2
693,PSOE,ierno,2
694,PSOE,anterior,11
695,PSOE,respondido,1
696,PSOE,siempre,28
697,PSOE,mirada,6
698,PSOE,socialdemócrata,2
699,PSOE,pandemia,29
700,PSOE,golpeó,1
701,PSOE,pocos,3
702,PSOE,meses,6
703,PSOE,comenzar,2
704,PSOE,coalición,2
705,PSOE,puso,5
706,PSOE,pruebas,5
707,PSOE,costuras,1
708,PSOE,specialmente,1
709,PSOE,sanitario,15
710,PSOE,previos,3
711,PSOE,coincidiendo,1
712,PSOE,crisis,44
713,PSOE,conservadores,4
714,PSOE,aplicaron,1
715,PSOE,recortes,13
716,PSOE,dañaron,1
717,PSOE,ejercicio,21
718,PSOE,irresponsabilidad,1
719,PSOE,graves,7
720,PSOE,consecuencias,20
721,PSOE,tarde,1
722,PSOE,sanitaria,19
723,PSOE,respondimos,1
724,PSOE,decisión,11
725,PSOE,recetas,3
726,PSOE,radicalmente,2
727,PSOE,contrarias,2
728,PSOE,puesto,30
729,PSOE,práctica,14
730,PSOE,derecha,25
731,PSOE,dijimos,1
732,PSOE,iban,1
733,PSOE,caer,3
734,PSOE,ocasión,2
735,PSOE,clases,3
736,PSOE,medias,1
737,PSOE,trabajadoras,29
738,PSOE,seguían,1
739,PSOE,arrastrando,2
740,PSOE,liberales,1
741,PSOE,levantamos,2
742,PSOE,potente,6
743,PSOE,escudo,6
744,PSOE,situamos,1
745,PSOE,creado,9
746,PSOE,asegura,1
747,PSOE,perm,4
748,PSOE,itirles,1
749,PSOE,escapar,1
750,PSOE,enemigo,1
751,PSOE,atroz,1
752,PSOE,toda,67
753,PSOE,necesidad,23
754,PSOE,protegió,1
755,PSOE,manera,79
756,PSOE,prioritaria,6
757,PSOE,entidades,37
758,PSOE,financieras,5
759,PSOE,factura,6
760,PSOE,corrió,1
761,PSOE,cargo,12
762,PSOE,media,23
763,PSOE,trabajadora,7
764,PSOE,dinero,3
765,PSOE,altas,3
766,PSOE,tasas,13
767,PSOE,desempleo,20
768,PSOE,dificultades,13
769,PSOE,guerra,14
770,PSOE,dejamos,1
771,PSOE,respuesta,40
772,PSOE,posible,23
773,PSOE,diera,1
774,PSOE,prioridad,22
775,PSOE,llo,2
776,PSOE,reforzamos,2
777,PSOE,erte,2
778,PSOE,pusimos,3
779,PSOE,ayudas,61
780,PSOE,dirigidas,15
781,PSOE,parte,58
782,PSOE,esencial,26
783,PSOE,protegían,1
784,PSOE,cese,4
785,PSOE,actividad,46
786,PSOE,directas,12
787,PSOE,rebajas,2
788,PSOE,impuestos,9
789,PSOE,inyecciones,1
790,PSOE,créditos,4
791,PSOE,destinadas,21
792,PSOE,aprobadas,5
793,PSOE,objetivo,101
794,PSOE,mitigar,2
795,PSOE,efectos,24
796,PSOE,dañinos,2
797,PSOE,portunidades,2
798,PSOE,intentó,1
799,PSOE,hacernos,2
800,PSOE,creer,1
801,PSOE,elegir,1
802,PSOE,tener,30
803,PSOE,crecer,4
804,PSOE,económicamente,5
805,PSOE,socialmente,4
806,PSOE,demostrado,14
807,PSOE,claridad,2
808,PSOE,rotunda,1
809,PSOE,relato,1
810,PSOE,falso,1
811,PSOE,simplemente,3
812,PSOE,coartada,1
813,PSOE,implantar,1
814,PSOE,hechos,4
815,PSOE,camino,13
816,PSOE,resultados,20
817,PSOE,ge,4
818,PSOE,stión,2
819,PSOE,principales,24
820,PSOE,europeas,11
821,PSOE,internacionales,38
822,PSOE,lideramos,1
823,PSOE,unión,61
824,PSOE,creamos,2
825,PSOE,nunca,15
826,PSOE,reducido,10
827,PSOE,persistente,2
828,PSOE,desempl,1
829,PSOE,eo,1
830,PSOE,juvenil,12
831,PSOE,seis,2
832,PSOE,puntos,14
833,PSOE,contamos,9
834,PSOE,tasa,13
835,PSOE,historia,23
836,PSOE,momento,21
837,PSOE,previsiones,2
838,PSOE,apuntan,2
839,PSOE,continuidad,9
840,PSOE,senda,16
841,PSOE,próximos,21
842,PSOE,definitiva,10
843,PSOE,problema,21
844,PSOE,llegan,3
845,PSOE,respuestas,9
846,PSOE,problemas,23
847,PSOE,buen,18
848,PSOE,rendimiento,7
849,PSOE,caras,2
850,PSOE,cara,10
851,PSOE,ofrece,10
852,PSOE,hacen,8
853,PSOE,felipe,2
854,PSOE,gonzález,3
855,PSOE,josé,2
856,PSOE,luis,2
857,PSOE,rodríguez,2
858,PSOE,zapatero,6
859,PSOE,hicieron,2
860,PSOE,grandes,40
861,PSOE,avances,25
862,PSOE,terreno,3
863,PSOE,ejemplo,16
864,PSOE,relativo,3
865,PSOE,equiparación,2
866,PSOE,parejas,4
867,PSOE,sexo,12
868,PSOE,ún,1
869,PSOE,quedaba,1
870,PSOE,recorrimos,2
871,PSOE,aborto,3
872,PSOE,tras,23
873,PSOE,reconociendo,6
874,PSOE,eutanasia,3
875,PSOE,protegiendo,2
876,PSOE,devaluación,1
877,PSOE,salarial,12
878,PSOE,sufrieron,1
879,PSOE,necesitaba,1
880,PSOE,gran,56
881,PSOE,revertiera,1
882,PSOE,ruptura,4
883,PSOE,sensos,1
884,PSOE,protagonizada,1
885,PSOE,nueva,76
886,PSOE,representa,11
887,PSOE,triunfo,1
888,PSOE,diálogo,42
889,PSOE,imposición,5
890,PSOE,rodillo,2
891,PSOE,pasado,14
892,PSOE,atajado,1
893,PSOE,forma,69
894,PSOE,directa,9
895,PSOE,precariedad,11
896,PSOE,demostrando,2
897,PSOE,puede,28
898,PSOE,generar,10
899,PSOE,nuevamente,1
900,PSOE,socialdemocracia,1
901,PSOE,sido,45
902,PSOE,acertada,2
903,PSOE,sindicatos,4
904,PSOE,empresarios,2
905,PSOE,propia,11
906,PSOE,defienden,2
907,PSOE,est,7
908,PSOE,vía,10
909,PSOE,acierto,1
910,PSOE,mientras,6
911,PSOE,advierten,1
912,PSOE,hizo,1
913,PSOE,dinamitar,2
914,PSOE,ahora,22
915,PSOE,sumar,1
916,PSOE,obligada,1
917,PSOE,tentación,1
918,PSOE,revertir,7
919,PSOE,duda,4
920,PSOE,éx,1
921,PSOE,ito,2
922,PSOE,términos,6
923,PSOE,psoe,60
924,PSOE,seguido,3
925,PSOE,ejes,12
926,PSOE,dado,13
927,PSOE,pasos,8
928,PSOE,decididos,2
929,PSOE,lacra,5
930,PSOE,llamada,7
931,PSOE,callaro,1
932,PSOE,actuado,3
933,PSOE,determinación,2
934,PSOE,reconocer,5
